Las Lajas;Argentina;-38.5163;-70.3666;1218
Las Lomitas;Argentina;-24.6996;-60.6;7683
Las Plumas;Argentina;-43.4163;-67.25;605
Libertador General San Martin;Argentina;-23.8195;-64.79;47559
Lincoln;Argentina;-34.88;-61.5399;19924
Lobos;Argentina;-35.1849;-59.0947;18278
Los Blancos;Argentina;-23.5996;-62.6;1145
Lujan;Argentina;-34.5796;-59.11;69744
Malargue;Argentina;-35.4661;-69.5833;11847
Mar de Ajo;Argentina;-36.7162;-56.6766;13610
Mar del Plata;Argentina;-38;-57.58;554916
Mendoza;Argentina;-32.8833;-68.8166;827815
Mercedes;Argentina;-34.66;-59.44;48408
Monte Quemado;Argentina;-25.7996;-62.8666;11387
Necochea;Argentina;-38.56;-58.75;70562
Neuquen;Argentina;-38.95;-68.06;213823
Nueve de Julio;Argentina;-35.446;-60.89;26716
Olavarria;Argentina;-36.9;-60.33;65059
Pampa del Infierno;Argentina;-26.5166;-61.1666;2921
Parana;Argentina;-31.7333;-60.5333;226852
Paso Rio Mayo;Argentina;-45.6834;-70.2666;1825
Pedro Luro;Argentina;-39.4833;-62.6833;7100
Pergamino;Argentina;-33.8996;-60.57;71448
Perito Moreno;Argentina;-46.6;-70.9334;3766
Posadas;Argentina;-27.3578;-55.8851;334589
Presidencia Roque Saenz Pena;Argentina;-26.79;-60.45;75958
Puerto Deseado;Argentina;-47.75;-65.9;3305
Puerto Madryn;Argentina;-42.77;-65.04;61159
Puerto San Julian;Argentina;-49.3;-67.7167;2347
Punta Alta;Argentina;-38.88;-62.08;55969
Rafaela;Argentina;-31.25;-61.5;69649
Rawson;Argentina;-43.3;-65.1;25062
Reconquista;Argentina;-29.1395;-59.65;86640
Resistencia;Argentina;-27.46;-58.99;368455
Rinconada;Argentina;-22.4329;-66.1666;6209
Rio Colorado;Argentina;-38.9666;-64.0833;11499
Rio Cuarto;Argentina;-33.13;-64.35;135959
Rio Gallegos;Argentina;-51.6333;-69.2166;77183
Rio Grande;Argentina;-53.7914;-67.699;31095
Rio Tercero;Argentina;-32.1796;-64.12;38049
Rodeo;Argentina;-30.2156;-69.14;701
Rosario;Argentina;-32.9511;-60.6663;1094784
Salta;Argentina;-24.7834;-65.4166;484646
San Antonio Oeste;Argentina;-40.7329;-64.9333;8492
San Antonio de los Cobres;Argentina;-24.1829;-66.35;4000
San Carlos de Bariloche;Argentina;-41.15;-71.3;91953
San Francisco;Argentina;-31.43;-62.09;43231
San Juan;Argentina;-31.55;-68.52;433892
San Justo;Argentina;-30.7829;-60.5833;9607
San Lorenzo;Argentina;-28.12;-58.77;25833
San Luis;Argentina;-33.3;-66.35;308146
San Martin;Argentina;-33.07;-68.49;99974
San Miguel de Tucuman;Argentina;-26.816;-65.2166;678803
San Nicolas;Argentina;-33.33;-60.24;117123
San Pedro;Argentina;-24.2196;-64.87;55249
San Rafael;Argentina;-34.6;-68.3333;79523
San Ramon de la Nueva Oran;Argentina;-23.14;-64.32;69461
San Salvador de Jujuy;Argentina;-24.1833;-65.3;258739
Santa Fe;Argentina;-31.6239;-60.69;393504
Santa Rosa;Argentina;-36.62;-64.3;97693
Santiago del Estero;Argentina;-27.7833;-64.2667;317549
Sarmiento;Argentina;-45.6;-69.0833;5185
Sierra Colorado;Argentina;-40.5829;-67.8;1522
Sunchales;Argentina;-30.9329;-61.5666;12655
Susques;Argentina;-23.4167;-66.4833;1093
Tandil;Argentina;-37.32;-59.15;84799
Tartagal;Argentina;-22.55;-63.81;59996
Telsen;Argentina;-42.3996;-66.95;493
Tinogasta;Argentina;-28.0666;-67.5666;587
Trancas;Argentina;-26.2167;-65.2833;1599
Trelew;Argentina;-43.25;-65.3299;93128
Tres Arroyos;Argentina;-38.37;-60.27;34773
Tunuyan;Argentina;-33.5662;-69.0167;22834
Ushuaia;Argentina;-54.79;-68.31;50483
Uspallata;Argentina;-32.5931;-69.346;2390
Veinticinco de Mayo;Argentina;-35.43;-60.18;18749
Venado Tuerto;Argentina;-33.7496;-61.97;52079
Vera;Argentina;-29.4662;-60.2166;9979
Victoria;Argentina;-32.61;-60.18;20032
Victorica;Argentina;-36.2163;-65.45;4458
Viedma;Argentina;-40.8;-63;54031
Villa Angela;Argentina;-27.5833;-60.7167;30051
Villa Carlos Paz;Argentina;-31.42;-64.5;60256
Villa Constitucion;Argentina;-33.23;-60.35;30282
Villa Maria;Argentina;-32.41;-63.26;76701
Villa Rumipal;Argentina;-32.1833;-64.4833;1269
Villalonga;Argentina;-39.8829;-62.5833;2838
Yacuiba;Argentina;-22.03;-63.7;64811
Zapala;Argentina;-38.9;-70.0667;19152
Zarate;Argentina;-34.0896;-59.04;86192
Artashat;Armenia;39.9539;44.5506;20562
Ashtarak;Armenia;40.3017;44.3592;18779
Gavarr;Armenia;40.3589;45.1267;21680
Gyumri;Armenia;40.7894;43.8475;140277
Ijevan;Armenia;40.8756;45.1492;14737
Vanadzor;Armenia;40.8128;44.4883;89295
Yeghegnadzor;Armenia;39.7611;45.3333;8200
Yerevan;Armenia;40.1812;44.5135;1097742
Oranjestad;Aruba;12.5304;-70.029;50887
Adelaide;Australia;-34.935;138.6;990677
Adelaide River;Australia;-13.2495;131.1;237
Albany;Australia;-35.0169;117.892;25179
Albury;Australia;-36.06;146.92;68534
Alice Springs;Australia;-23.701;133.88;26949
Andamooka;Australia;-30.431;137.166;528
Ararat;Australia;-37.2795;142.91;5464
Armidale;Australia;-30.5123;151.667;21793
Atherton;Australia;-17.2703;145.469;6132
Ayr;Australia;-19.5702;147.399;7166
Bairnsdale;Australia;-37.8296;147.61;9427
Ballarat;Australia;-37.5596;143.84;73404
Ballina;Australia;-28.8614;153.568;13997
Barcaldine;Australia;-23.5662;145.283;1068
Batemans Bay;Australia;-35.6896;150.207;5604
Bathurst;Australia;-33.4196;149.57;6111
Bedourie;Australia;-24.3496;139.467;142
Bendigo;Australia;-36.76;144.28;68790
Berri;Australia;-34.2829;140.6;4523
Bicheno;Australia;-41.8784;148.289;177
Biloela;Australia;-24.3936;150.496;4366
Birdsville;Australia;-25.8996;139.367;283
Bongaree;Australia;-27.0787;153.151;10327
Bordertown;Australia;-36.3162;140.767;1976
Boulia;Australia;-22.8996;139.9;402
Bourke;Australia;-30.1;145.933;2475
Bowen;Australia;-20.0013;148.209;10983
Brisbane;Australia;-27.455;153.035;1393176
Broken Hill;Australia;-31.95;141.433;17232
Broome;Australia;-17.9618;122.231;11890
Bunbury;Australia;-33.3443;115.65;26683
Bundaberg;Australia;-24.8791;152.351;46062
Burketown;Australia;-17.7161;139.567;186
Burnie;Australia;-41.0666;145.917;18490
Busselton;Australia;-33.6564;115.349;9595
Byron Bay;Australia;-28.6565;153.613;5244
Caboolture;Australia;-27.083;152.95;26495
Cairns;Australia;-16.8878;145.763;132107
Caloundra;Australia;-26.8;153.133;33737
Camooweal;Australia;-19.9167;138.117;187
Canberra;Australia;-35.283;149.129;280866
Carnarvon;Australia;-24.8998;113.65;7392
Ceduna;Australia;-32.0991;133.662;1252
Central Coast;Australia;-33.42;151.3;3026
Charleville;Australia;-26.4;146.25;1900
Charters Towers;Australia;-20.0809;146.259;8369
Clare;Australia;-33.8329;138.6;2729
Cloncurry;Australia;-20.7;140.5;1202
Cobram;Australia;-35.9196;145.65;4659
Coffs Harbour;Australia;-30.3071;153.112;48961
Colac;Australia;-38.3395;143.58;7450
Cooma;Australia;-36.2396;149.12;5661
Cowell;Australia;-33.6829;136.917;537
Cowra;Australia;-33.8296;148.68;5729
Cranbourne;Australia;-38.0996;145.283;249955
Dalby;Australia;-27.1939;151.266;9818
Darwin;Australia;-12.4254;130.85;82973
Deniliquin;Australia;-35.5296;144.95;6019
Derby;Australia;-17.3;123.967;3199
Devonport;Australia;-41.1927;146.331;17932
Dubbo;Australia;-32.26;148.597;30467
Echuca;Australia;-36.1296;144.75;13460
Eidsvold;Australia;-25.3662;151.133;459
Emerald;Australia;-23.5122;148.167;7489
Erldunda;Australia;-25.2333;133.2;10
Esperance;Australia;-33.8573;121.889;7205
Exmouth;Australia;-21.9311;114.123;1085
Forbes;Australia;-33.3896;148.02;4076
Forster-Tuncurry;Australia;-32.1931;152.527;13275
Gawler;Australia;-34.6074;138.726;15542
Geelong;Australia;-38.1675;144.396;149336
Georgetown;Australia;-18.3;143.533;818
Geraldton;Australia;-28.7666;114.6;27065
Gingin;Australia;-31.3496;115.9;1446
Gladstone;Australia;-23.8533;151.247;29055
Gold Coast;Australia;-28.0815;153.448;429954
Goondiwindi;Australia;-28.5548;150.325;4251
Goulburn;Australia;-34.7496;149.71;16444
Grafton;Australia;-29.712;152.938;7871
Griffith;Australia;-34.29;146.04;11664
Gunnedah;Australia;-30.987;150.262;6204
Gympie;Australia;-26.1886;152.671;11338
Halls Creek;Australia;-18.2667;127.767;1209
Hamilton;Australia;-37.7312;142.023;6992
Hervey Bay;Australia;-25.2887;152.841;25114
Hobart;Australia;-42.85;147.295;64285
Horsham;Australia;-36.7096;142.19;11985
Hughenden;Australia;-20.85;144.2;421
Ingham;Australia;-18.6496;146.167;5996
Innisfail;Australia;-17.5313;146.039;9707
Inverell;Australia;-29.7668;151.113;6845
Ivanhoe;Australia;-32.8996;144.3;265
Kalbarri;Australia;-27.6662;114.167;1537
Kalgoorlie;Australia;-30.7354;121.46;32058
Kaltukatjara;Australia;-25.7884;128.997;355
Karratha;Australia;-20.7304;116.87;16636
Karumba;Australia;-17.4833;140.833;173
Katanning;Australia;-33.6996;117.55;3140
Katherine;Australia;-14.4666;132.267;8171
Katoomba;Australia;-33.7069;150.32;20334
Kempsey;Australia;-31.0874;152.822;10681
Kiama;Australia;-34.7096;150.84;10379
Kimba;Australia;-33.1496;136.433;636
Kingaroy;Australia;-26.539;151.841;7494
Kingoonya;Australia;-30.8996;135.3;50
Kingston;Australia;-42.9911;147.308;12652
Kingston South East;Australia;-36.8328;139.85;206
Kununurra;Australia;-15.7666;128.733;5229
Kwinana;Australia;-32.2394;115.77;18817
Launceston;Australia;-41.4498;147.13;65106
Laverton;Australia;-28.627;122.404;316
Leeton;Australia;-34.5449;146.397;6277
Leonara;Australia;-28.8815;121.328;227
Lismore;Australia;-28.8167;153.293;28065
Lithgow;Australia;-33.4961;150.153;10338
Longreach;Australia;-23.4496;144.25;2894
Mackay;Australia;-21.1439;149.15;66053
Maitland;Australia;-32.721;151.555;10026
Mandurah;Australia;-32.5235;115.747;52866
Manjimup;Australia;-34.2333;116.15;4016
Maryborough;Australia;-37.0496;143.73;5838
McMinns Lagoon;Australia;-12.5329;131.05;5025
Meekatharra;Australia;-26.6;118.483;654
Melbourne;Australia;-37.82;144.975;2131812
Melton;Australia;-37.6895;144.57;29750
Meningie;Australia;-35.6995;139.333;850
Merimbula;Australia;-36.8996;149.9;3607
Merredin;Australia;-31.4828;118.267;2054
Mildura;Australia;-34.185;142.151;33324
Moranbah;Australia;-22.0016;148.038;7357
Morawa;Australia;-29.2163;116;259
Moree;Australia;-29.4699;149.83;8062
Mount Barker;Australia;-34.6328;117.667;1771
Mount Gambier;Australia;-37.8313;140.765;21818
Mount Isa;Australia;-20.7239;139.49;27596
Mount Magnet;Australia;-28.0662;117.817;424
Mudgee;Australia;-32.5896;149.58;5391
Murray Bridge;Australia;-35.1296;139.26;14185
Muswellbrook;Australia;-32.2696;150.89;8171
Narrabri;Australia;-30.3319;149.787;6105
Narrogin;Australia;-32.9329;117.167;3995
Newcastle;Australia;-32.8453;151.815;816285
Newcastle Waters;Australia;-17.5528;133.467;10
Newman;Australia;-23.3666;119.733;2678
Norseman;Australia;-32.2;121.767;1004
Northam;Australia;-31.6566;116.653;5330
Nowra;Australia;-34.8828;150.6;61036
Oatlands;Australia;-42.2996;147.367;1157
Onslow;Australia;-21.6576;115.096;573
Orange;Australia;-33.28;149.1;36708
Ouyen;Australia;-35.0662;142.317;912
Pannawonica;Australia;-21.6366;116.325;686
Parkes;Australia;-33.1296;148.17;7160
Penola;Australia;-37.383;140.817;1513
Perth;Australia;-31.955;115.84;1206108
Peterborough;Australia;-32.9662;138.833;1351
Pine Creek;Australia;-13.8162;131.817;505
Port Augusta;Australia;-32.49;137.77;11186
Port Denison;Australia;-29.2828;114.917;1213
Port Douglas;Australia;-16.4846;145.459;2004
Port Hedland;Australia;-20.3104;118.606;8997
Port Lincoln;Australia;-34.7332;135.867;12438
Port Macquarie;Australia;-31.445;152.919;42070
Port Pirie;Australia;-33.1911;137.99;12417
Portland;Australia;-38.34;141.59;10324
Proserpine;Australia;-20.4162;148.583;3976
Queanbeyan;Australia;-35.3546;149.211;32408
Queenstown;Australia;-42.0829;145.55;1658
Quilpie;Australia;-26.6166;144.25;560
Ravensthorpe;Australia;-33.5829;120.033;639
Richmond;Australia;-33.5995;150.74;9720
Rockhampton;Australia;-23.3639;150.52;59024
Roebourne;Australia;-20.7829;117.133;11281
Roma;Australia;-26.5594;148.791;4560
Sale;Australia;-38.1096;147.06;17701
Scone;Australia;-32.0796;150.85;4624
Scottsdale;Australia;-41.1495;147.517;1683
Seymour;Australia;-37.0342;145.127;3693
Shepparton;Australia;-36.3746;145.391;33430
Singleton;Australia;-32.5695;151.16;8340
Smithton;Australia;-40.8329;145.117;3351
Southern Cross;Australia;-31.2161;119.317;187
Stawell;Australia;-37.0596;142.76;4596
Streaky Bay;Australia;-32.8119;134.215;614
Sunbury;Australia;-37.5696;144.71;18677
Sunshine Coast;Australia;-26.68;153.05;57215
Swan Hill;Australia;-35.3396;143.54;9073
Sydney;Australia;-33.92;151.185;4135711
Tamworth;Australia;-31.1026;150.917;35080
Taree;Australia;-31.8976;152.462;30131
Tennant Creek;Australia;-19.65;134.2;3490
Thargomindah;Australia;-28;143.817;203
Theodore;Australia;-24.9495;150.083;246
Three Springs;Australia;-29.5333;115.75;190
Tom Price;Australia;-22.6935;117.793;1822
Toowoomba;Australia;-27.5645;151.956;86711
Townsville;Australia;-19.25;146.77;129212
Traralgon;Australia;-38.1996;146.53;16982
Tumby Bay;Australia;-34.3829;136.083;1791
Tumut;Australia;-35.3096;148.22;4873
Tweed Heads;Australia;-28.1826;153.547;33065
Ulladulla;Australia;-35.3495;150.47;6811
Victor Harbor;Australia;-35.5596;138.617;7489
Wagga Wagga;Australia;-35.1222;147.34;45549
Wagin;Australia;-33.2996;117.35;1037
Wallaroo;Australia;-33.9329;137.633;2442
Wangaratta;Australia;-36.36;146.3;11369
Warrnambool;Australia;-38.38;142.47;29882
Warwick;Australia;-28.2292;152.02;10024
Weipa;Australia;-12.6666;141.867;2830
